id,name
461,"International Conference on ArtsIT, Interactivity and Game Creation"
462,International Workshop on Trustworthy Federated Learning
463,Green Chemical Engineering
464,International Conference on Educational Technology and Administration
465,Journal of Physics and Chemistry of Solids
466,Conference on Innovative Technologies in Intelligent Systems and Industrial Applications
467,Extractive Industries and Society
468,International Symposium on Intelligent and Distributed Computing
469,International Conference on Artificial Intelligence for Communications and Networks
470,JSAI International Symposium on Artificial Intelligence
471,International Conference of Machine Learning and Computer Science Applications
472,"International Conference on the Economics of Grids, Clouds, Systems, and Services"
473,Journal of Infrastructure Intelligence and Resilience
474,International Workshop on Structured Object-Oriented Formal Language and Method
475,International Workshop on Security and Trust Management
476,International Conference on Technological Imagination in the Green and Digital Transition
477,European Conference on Genetic Programming (Part of EvoStar)
478,Technology Conference on Performance Evaluation and Benchmarking
479,International Journal of Impact Engineering
480,Serbian International Conference on Applied Artificial Intelligence 
481,Computational Statistics and Data Analysis
482,IEEE Colombian Conference on Applications of Computational Intelligence
483,International Working Conference on Requirements Engineering: Foundation for Software Quality
484,Tribology International
485,International Workshop on Higher Education Learning Methodologies and Technologies Online
486,"IFToMM International Conference on Mechanisms, Transmissions and Applications"
487,Biomaterials Advances
488,International Conference on Digital Technologies and Applications
489,International Conference on Sensing Technology
490,International Conference on Parallel and Distributed Computing: Applications and Technologies
491,"International Conference on Computational Intelligence in Music, Sound, Art and Design (Part of EvoStar)"
492,Bioelectrochemistry
493,International Symposium on Intelligent Data Analysis
494,Talanta
495,International Conference on Neural Information Processing
496,International Symposium on Foundations and Practice of Security
497,International Conference on the Applications of Evolutionary Computation (Part of EvoStar)
498,International Conference on Machine Learning and Intelligent Communications
499,International Conference on Next Generation Wired/Wireless Networking
500,Conference of the Italian Society of Agricultural Engineering
501,"International Conference on Applications in Electronics Pervading Industry, Environment and Society"
502,"International Conference on Deep Learning, Artificial Intelligence and Robotics"
503,International Conference on Parallel Processing and Applied Mathematics
504,Food Microbiology
505,International Conference on Database Systems for Advanced Applications
506,International Conference on Distributed Computer and Communication Networks
507,"European, Mediterranean, and Middle Eastern Conference on Information Systems"
508,International Conference on Fundamental Approaches to Software Engineering
509,"International Conference “New Technologies, Development and Applications”"
510,The International Symposium on Bioinformatics and Biomedicine
511,International Conference on Risks and Security of Internet and Systems
512,International Conference on Intelligent Vision and Computing
513,European Conference on Parallel Processing
514,EAI International Conference on Performance Evaluation Methodologies and Tools
515,International Conference on Modelling and Simulation for Autonomous Systems
516,International Conference on Smart Grid and Internet of Things
517,Pan African Conference on Artificial Intelligence
518, International Scientific and Practical Conference on Information Technologies and Intelligent Decision Making Systems
519,International Conference on Computer Vision and Image Processing
520,Materials Science in Semiconductor Processing
521,International Conference on Blockchain Technology and Emerging Applications
522,Scandinavian Conference on Image Analysis
523,International Conference on Pervasive Knowledge and Collective Intelligence on Web and Social Media
524,International Congress on Technical Diagnostics
525,International Conference on Machine Intelligence and Smart Systems
526,Morphologie
527,International Conference on Smart Grid Inspired Future Technologies
528,International Conference on Computers in Urban Planning and Urban Management
529,World Congress of Performance Analysis of Sport & International Conference of Computer Science in Sports
530,The International Conference on Cyber Security Intelligence and Analytics
531,Challenge on Left Atrial and Scar Quantification and Segmentation
532,Materials Research Bulletin
533,"International Conference on Material, Machines and Methods for Sustainable Development"
534,Digital Marketing & eCommerce Conference
535,Integrative Medicine Research
536,International Conference on Scale Space and Variational Methods in Computer Vision
537,"Worldwide Congress on “Genetics, Geriatrics and Neurodegenerative Diseases Research"""
538,International Conference on Wireless Mobile Communication and Healthcare
539,Nonlinear Analysis Theory Methods and Applications
540,International Conference on High Performance Computing
541,Biomass and Bioenergy
542,Conference on Next Generation Arithmetic
